SYMBOL,GID,GENENAME
ABI1,104841105,abl interactor 1 isoform X1
ACBD5,104841472,acyl-CoA-binding domain-containing protein 5 isoform X1
MASTL,104828888,serine/threonine-protein kinase greatwall
YME1L1,104841648,ATP-dependent zinc metalloprotease YME1L1
PTCHD3,104828896,patched domain-containing protein 3
LOC104828905,104828905,probable polyketide synthase 1
RAB18,104841720,ras-related protein Rab-18
TRNAN-GUU,104798235,tRNA-Asn
MKX,104828910,homeobox protein Mohawk
ARMC4,104828917,armadillo repeat-containing protein 4
MPP7,104841793,MAGUK p55 subfamily member 7 isoform X1
LOC104841904,104841904,Sjoegren syndrome nuclear autoantigen 1 homolog
WAC,104842340,WW domain-containing adapter protein with coiled-coil isoform X1
BAMBI,104842592,BMP and activin membrane-bound inhibitor homolog isoform X1
LOC104828928,104828928,"lysozyme C, milk isozyme-like"
MAP3K8,104842599,mitogen-activated protein kinase kinase kinase 8
MTPAP,104828939,"poly(A) RNA polymerase, mitochondrial"
KIAA1462,104842607,junctional protein associated with coronary artery disease isoform X1
SVIL,104842616,supervillin isoform X1
ZNF438,104842627,zinc finger protein 438 isoform X1
ZEB1,104842640,zinc finger E-box-binding homeobox 1
ARHGAP12,104842645,rho GTPase-activating protein 12 isoform X1
KIF5B,104842668,kinesin-1 heavy chain isoform X1
EPC1,104842685,enhancer of polycomb homolog 1 isoform X1
ITGB1,104828960,integrin beta-1
NRP1,104842734,neuropilin-1 isoform X1
PARD3,104842744,partitioning defective 3 homolog isoform X1
CUL2,104842779,cullin-2 isoform X1
CREM,104842798,cAMP-responsive element modulator isoform X1
CCNY,104842823,cyclin-Y isoform X1
GJD4,104842838,gap junction delta-4 protein
FZD8,104828970,frizzled-8
LOC104842849,104842849,uncharacterized LOC104842849
TRNAG-UCC,104798255,tRNA-Gly
KLF6,104842855,Krueppel-like factor 6
PITRM1,104828981,"presequence protease, mitochondrial"
PFKP,104842861,"ATP-dependent 6-phosphofructokinase, platelet type isoform X1"
ADARB2,104842880,double-stranded RNA-specific editase B2
WDR37,104842887,WD repeat-containing protein 37
IDI1,104842896,isopentenyl-diphosphate Delta-isomerase 1
GTPBP4,104842904,nucleolar GTP-binding protein 1 isoform X1
LARP4B,104842918,la-related protein 4B isoform X1
DIP2C,104842952,disco-interacting protein 2 homolog C isoform X1
ZMYND11,104842967,zinc finger MYND domain-containing protein 11 isoform X1
LOC104828992,104828992,H/ACA ribonucleoprotein complex subunit 1-like
VIPR2,104843021,vasoactive intestinal polypeptide receptor 2
WDR60,104829003,WD repeat-containing protein 60
ESYT2,104843032,extended synaptotagmin-2 isoform X1
NCAPG2,104843059,condensin-2 complex subunit G2
PTPRN2,104829014,receptor-type tyrosine-protein phosphatase N2
DNAJB6,104843064,dnaJ homolog subfamily B member 6 isoform X1
UBE3C,104843091,ubiquitin-protein ligase E3C isoform X1
MNX1,104829025,motor neuron and pancreas homeobox protein 1
NOM1,104829034,nucleolar MIF4G domain-containing protein 1
LMBR1,104843104,limb region 1 protein homolog
RNF32,104843113,RING finger protein 32
SHH,104843121,sonic hedgehog protein
RBM33,104843126,RNA-binding protein 33 isoform X1
LOC104829042,104829042,protein canopy homolog 1-like
EN2,104829047,homeobox protein engrailed-2
INSIG1,104843151,insulin-induced gene 1 protein
HTR5A,104829056,5-hydroxytryptamine receptor 5A
PAXIP1,104843160,PAX-interacting protein 1 isoform X1
DPP6,104843178,dipeptidyl aminopeptidase-like protein 6
ACTR3B,104843188,actin-related protein 3B isoform X1
XRCC2,104843205,DNA repair protein XRCC2
KMT2C,104843220,histone-lysine N-methyltransferase 2C isoform X1
LOC104843215,104843215,uncharacterized LOC104843215
GALNT11,104843275,polypeptide N-acetylgalactosaminyltransferase 11 isoform X1
PRKAG2,104843290,5'-AMP-activated protein kinase subunit gamma-2 isoform X1
RHEB,104829059,GTP-binding protein Rheb
CRYGN,104843305,gamma-crystallin N
WDR86,104843313,WD repeat-containing protein 86
NUB1,104843319,NEDD8 ultimate buster 1 isoform X1
LOC104843330,104843330,uncharacterized protein C9orf152 homolog
XYLB,104829064,xylulose kinase
ACVR2B,104843334,activin receptor type-2B
EXOG,104843343,"nuclease EXOG, mitochondrial"
SCN5A,104843368,sodium channel protein type 5 subunit alpha isoform X1
LOC104829073,104829073,sodium channel protein type 5 subunit alpha-like
LOC104829076,104829076,LOW QUALITY PROTEIN: sodium channel protein type 5 subunit alpha-like
WDR48,104827778,WD repeat-containing protein 48 isoform X1
GORASP1,104827803,Golgi reassembly-stacking protein 1
LOC104829083,104829083,elastase-1-like
CSRNP1,104827813,cysteine/serine-rich nuclear protein 1
XIRP1,104827822,xin actin-binding repeat-containing protein 1
LOC104829091,104829091,solute carrier family 22 member 13-like
OXSR1,104829098,serine/threonine-protein kinase OSR1
MYD88,104827827,myeloid differentiation primary response protein MyD88
LOC104829106,104829106,cryptochrome DASH-like
LOC104827837,104827837,mitogen-activated protein kinase kinase kinase 3-like
ACAA1,104827846,"3-ketoacyl-CoA thiolase, peroxisomal"
DLEC1,104829112,deleted in lung and esophageal cancer protein 1
PLCD1,104827851,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1"
VILL,104827858,villin-like protein
CTDSPL,104827864,CTD small phosphatase-like protein isoform X1
GARS,104827886,glycine--tRNA ligase isoform X1
LOC104829121,104829121,uncharacterized gene
CRHR2,104827899,corticotropin-releasing factor receptor 2
FAM188B,104827904,protein FAM188B
AQP1,104827908,aquaporin-1
GHRHR,104829129,growth hormone-releasing hormone receptor
ADCYAP1R1,104827916,pituitary adenylate cyclase-activating polypeptide type I receptor
LOC104827927,104827927,vasoactive intestinal polypeptide receptor 1-like
VIPR1,104827937,vasoactive intestinal polypeptide receptor 1 isoform X1
SEC22C,104827948,vesicle-trafficking protein SEC22c isoform X1
NKTR,104827991,NK-tumor recognition protein isoform X1
ZBTB47,104828014,zinc finger and BTB domain-containing protein 47
KLHL40,104828025,kelch-like protein 40
HHATL,104828036,protein-cysteine N-palmitoyltransferase HHAT-like protein
CCDC13,104829132,coiled-coil domain-containing protein 13
HIGD1A,104828043,"HIG1 domain family member 1A, mitochondrial"
ACKR2,104829139,atypical chemokine receptor 2
LOC104828057,104828057,"5-beta-cholestane-3-alpha,7-alpha-diol 12-alpha-hydroxylase"
OBSCN,104829149,obscurin
LOC104828077,104828077,uncharacterized protein C17orf104 homolog
IBA57,104828067,"putative transferase CAF17, mitochondrial"
GJC2,104828084,gap junction gamma-2 protein
GUK1,104828095,guanylate kinase isoform X1
LOC104828161,104828161,multiple myeloma tumor-associated protein 2
ARF1,104828168,ADP-ribosylation factor 1
WNT3A,104828183,protein Wnt-3a
WNT9A,104828191,protein Wnt-9a
SNAP47,104828201,synaptosomal-associated protein 47
JMJD4,104828207,jmjC domain-containing protein 4 isoform X1
ALS2CL,104828220,ALS2 C-terminal-like protein isoform X1
TMIE,104829160,transmembrane inner ear expressed protein
MYL3,104828260,myosin light chain 3
PTH1R,104828271,parathyroid hormone/parathyroid hormone-related peptide receptor
CCDC12,104828275,coiled-coil domain-containing protein 12 isoform X1
NBEAL2,104829171,LOW QUALITY PROTEIN: neurobeachin-like protein 2
LOC104829182,104829182,D-serine dehydratase-like
LOC104829193,104829193,death domain-containing membrane protein NRADD-like
SETD2,104829204,histone-lysine N-methyltransferase SETD2
KIF9,104828290,kinesin-like protein KIF9
KLHL18,104828298,kelch-like protein 18 isoform X1
LOC104829212,104829212,cathelicidin-2-like
CAMP,104828306,cathelicidin antimicrobial peptide
TBRG4,104828315,protein TBRG4 isoform X1
NACAD,104829218,NAC-alpha domain-containing protein 1
CCM2,104828341,malcavernin isoform X1
LOC104828357,104828357,"uncharacterized LOC104828357, transcript variant X2"
MYO1G,104829224,unconventional myosin-Ig
PTPN23,104829233,tyrosine-protein phosphatase non-receptor type 23
LOC104828375,104828375,uncharacterized LOC104828375
SCAP,104828364,sterol regulatory element-binding protein cleavage-activating protein
ELP6,104828379,elongator complex protein 6
CSPG5,104829242,LOW QUALITY PROTEIN: chondroitin sulfate proteoglycan 5
SMARCC1,104828388,SWI/SNF complex subunit SMARCC1 isoform X1
LOC104829253,104829253,KAT8 regulatory NSL complex subunit 1-like
DHX30,104828401,putative ATP-dependent RNA helicase DHX30 isoform X1
LOC104829264,104829264,formin-like protein 18
MAP4,104829270,microtubule-associated protein 4
CDC25A,104828423,M-phase inducer phosphatase 1
LOC104829275,104829275,E3 ubiquitin-protein ligase TRIM11-like
ZNF777,104829283,zinc finger protein 777
TIGD3,104829294,tigger transposable element-derived protein 3
LOC104829304,104829304,uncharacterized protein LOC104829304
LOC104829313,104829313,zinc finger protein 282-like
LOC104829322,104829322,zinc finger protein 850-like
LOC104829329,104829329,zinc finger protein 398-like
LOC104828432,104828432,zinc finger protein 777-like isoform X1
KRBA1,104829332,protein KRBA1
LOC104828443,104828443,uncharacterized protein LOC104828443
LOC104829339,104829339,LOW QUALITY PROTEIN: GTPase IMAP family member 1-like
LOC104829350,104829350,zinc finger and SCAN domain-containing protein 2-like
LOC104829357,104829357,zinc finger protein 208-like
RARRES2,104828451,retinoic acid receptor responder protein 2
LRRC61,104828514,leucine-rich repeat-containing protein 61
SSPO,104828522,SCO-spondin
LOC104829366,104829366,tigger transposable element-derived protein 4-like
LOC104828461,104828461,uncharacterized LOC104828461
AOC1,104829369,amiloride-sensitive amine oxidase [copper-containing]
KCNH2,104829377,potassium voltage-gated channel subfamily H member 2
NOS3,104829386,"LOW QUALITY PROTEIN: nitric oxide synthase, endothelial"
ATG9B,104828466,autophagy-related protein 9B
ABCB8,104829395,"ATP-binding cassette sub-family B member 8, mitochondrial"
ASIC3,104829403,acid-sensing ion channel 3
CDK5,104829409,cyclin-dependent-like kinase 5
SLC4A2,104828473,anion exchange protein 2
FASTK,104828484,fas-activated serine/threonine kinase
TMUB1,104829416,transmembrane and ubiquitin-like domain-containing protein 1
AGAP3,104829425,"arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3"
GBX1,104829432,homeobox protein GBX-1
ASB10,104828490,ankyrin repeat and SOCS box protein 10
LOC104828496,104828496,late histone H2B.L4-like
ABCF2,104828504,ATP-binding cassette sub-family F member 2
CHPF2,104828507,chondroitin sulfate glucuronyltransferase
WDR75,104829456,WD repeat-containing protein 75 isoform X1
SLC40A1,104829470,solute carrier family 40 member 1
ASNSD1,104829479,asparagine synthetase domain-containing protein 1 isoform X1
OSGEPL1,104829496,"probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial"
ORMDL1,104829503,ORM1-like protein 1
PMS1,104829517,PMS1 protein homolog 1 isoform X1
MSTN,104829529,growth/differentiation factor 8 isoform X1
LOC104829541,104829541,small membrane A-kinase anchor protein
HIBCH,104829548,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
LOC104829555,104829555,uncharacterized LOC104829555
MFSD6,104829561,major facilitator superfamily domain-containing protein 6
TMEM194B,104829567,transmembrane protein 194B
NAB1,104829578,NGFI-A-binding protein 1
GLS,104832710,"glutaminase kidney isoform, mitochondrial"
STAT1,104829588,signal transducer and activator of transcription 1-alpha/beta isoform X1
STAT4,104829610,signal transducer and activator of transcription 4
MYO1B,104829613,unconventional myosin-Ib isoform X1
TSSK6,104829626,testis-specific serine/threonine-protein kinase 6
NABP1,104829636,SOSS complex subunit B2 isoform X1
SDPR,104829644,serum deprivation-response protein
TMEFF2,104832716,tomoregulin-2
SLC39A10,104829654,zinc transporter ZIP10
DNAH7,104829658,"dynein heavy chain 7, axonemal"
STK17B,104829661,serine/threonine-protein kinase 17B
HECW2,104829664,E3 ubiquitin-protein ligase HECW2
CCDC150,104832722,LOW QUALITY PROTEIN: coiled-coil domain-containing protein 150
GTF3C3,104829670,general transcription factor 3C polypeptide 3 isoform X1
LOC104829715,104829715,uncharacterized protein C2orf66 homolog
PGAP1,104829726,GPI inositol-deacylase isoform X1
ANKRD44,104829751,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
SF3B1,104829762,splicing factor 3B subunit 1 isoform X1
COQ10B,104829783,"coenzyme Q-binding protein COQ10 homolog B, mitochondrial"
HSPD1,104829794,"60 kDa heat shock protein, mitochondrial isoform X1"
HSPE1,104829832,"10 kDa heat shock protein, mitochondrial isoform X1"
MOB4,104829817,MOB-like protein phocein isoform X1
RFTN2,104829851,raftlin-2 isoform X1
BOLL,104829869,protein boule-like
PLCL1,104829880,inactive phospholipase C-like protein 1
SATB2,104829889,DNA-binding protein SATB2
LOC104829893,104829893,UPF0565 protein C2orf69 homolog
TYW5,104829899,tRNA wybutosine-synthesizing protein 5 isoform X1
LOC104832731,104832731,"uncharacterized protein C2orf47 homolog, mitochondrial"
SPATS2L,104829931,SPATS2-like protein isoform X1
KCTD18,104829925,BTB/POZ domain-containing protein KCTD18
LOC104829947,104829947,uncharacterized LOC104829947
SGOL2,104832739,shugoshin-like 2
AOX1,104829954,aldehyde oxidase isoform X1
LOC104829951,104829951,uncharacterized LOC104829951
LOC104832748,104832748,aldehyde oxidase 2-like
BZW1,104829964,basic leucine zipper and W2 domain-containing protein 1 isoform X1
CLK1,104829982,dual specificity protein kinase CLK1
PPIL3,104830016,peptidyl-prolyl cis-trans isomerase-like 3
NIF3L1,104830005,putative GTP cyclohydrolase 1 type 2 NIF3L1
ORC2,104829995,origin recognition complex subunit 2
FAM126B,104830025,protein FAM126B isoform X1
NDUFB3,104830041,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
CFLAR,104830073,CASP8 and FADD-like apoptosis regulator
CASP10,104830062,caspase-10
CASP8,104830055,caspase-8
LOC104830116,104830116,caspase-8-like
TRAK2,104830100,trafficking kinesin-binding protein 2 isoform X1
STRADB,104830126,STE20-related kinase adapter protein beta isoform X1
TMEM237,104830139,transmembrane protein 237
MPP4,104830152,MAGUK p55 subfamily member 4
ALS2,104830150,alsin
CDK15,104832751,LOW QUALITY PROTEIN: cyclin-dependent kinase 15
FZD7,104832759,frizzled-7
SUMO1,104830161,small ubiquitin-related modifier 1
NOP58,104830167,nucleolar protein 58 isoform X1
BMPR2,104830180,bone morphogenetic protein receptor type-2
FAM117B,104832770,protein FAM117B
WDR12,104830184,ribosome biogenesis protein WDR12
CARF,104832781,calcium-responsive transcription factor
PLEKHM3,104830195,pleckstrin homology domain-containing family M member 3 isoform X1
FZD5,104832792,frizzled-5
CCNYL1,104832802,cyclin-Y-like protein 1
METTL21A,104832810,protein N-lysine methyltransferase METTL21A
CREB1,104830259,cyclic AMP-responsive element-binding protein 1
KLF7,104830270,Krueppel-like factor 7 isoform X1
CPO,104832817,carboxypeptidase O
FASTKD2,104830280,FAST kinase domain-containing protein 2
MDH1B,104832825,putative malate dehydrogenase 1B
DYTN,104830289,dystrotelin
LOC104830300,104830300,uncharacterized protein LOC104830300
ADAM23,104830308,disintegrin and metalloproteinase domain-containing protein 23 isoform X1
ZDBF2,104830318,DBF4-type zinc finger-containing protein 2 isoform X1
GPR1,104830368,G-protein coupled receptor 1
EEF1B2,104830374,elongation factor 1-beta isoform X1
NDUFS1,104830393,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial isoform X1"
INO80D,104830410,INO80 complex subunit D
NRP2,104830429,neuropilin-2 isoform X1
PARD3B,104830442,partitioning defective 3 homolog B
LOC104830450,104830450,inducible T-cell costimulator-like
CTLA4,104830461,cytotoxic T-lymphocyte protein 4
CD28,104830469,T-cell-specific surface glycoprotein CD28
RAPH1,104830480,ras-associated and pleckstrin homology domains-containing protein 1
ABI2,104830487,abl interactor 2 isoform X1
LOC104832834,104832834,LOW QUALITY PROTEIN: cytochrome P450 20A1
LOC104830495,104830495,alpha-aspartyl dipeptidase-like
NBEAL1,104830503,neurobeachin-like protein 1 isoform X1
LOC104832844,104832844,LOW QUALITY PROTEIN: gamma-crystallin B-like
LOC104832854,104832854,LOW QUALITY PROTEIN: gamma-crystallin D-like
LOC104832864,104832864,uncharacterized protein C2orf80 homolog
LOC104830527,104830527,LOW QUALITY PROTEIN: shugoshin-like 2
IDH1,104830644,isocitrate dehydrogenase [NADP] cytoplasmic isoform X1
PIKFYVE,104830537,1-phosphatidylinositol 3-phosphate 5-kinase isoform X1
DNAJC10,104830531,dnaJ homolog subfamily C member 10
PDE1A,104830665,"calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A isoform X1"
PPP1R1C,104830677,protein phosphatase 1 regulatory subunit 1C
SSFA2,104830686,sperm-specific antigen 2
NEUROD1,104832869,neurogenic differentiation factor 1
CERKL,104832876,ceramide kinase-like protein
ITGA4,104832881,integrin alpha-4
UBE2E3,104830693,ubiquitin-conjugating enzyme E2 E3 isoform X1
CWC22,104830714,pre-mRNA-splicing factor CWC22 homolog isoform X1
ZNF385B,104830734,zinc finger protein 385B
SESTD1,104830743,SEC14 domain and spectrin repeat-containing protein 1
CCDC141,104832889,coiled-coil domain-containing protein 141
TTN,104832896,LOW QUALITY PROTEIN: titin
PLEKHA3,104830750,pleckstrin homology domain-containing family A member 3
FKBP7,104830762,peptidyl-prolyl cis-trans isomerase FKBP7
DFNB59,104830775,pejvakin
OSBPL6,104830786,oxysterol-binding protein-related protein 6 isoform X1
RBM45,104830810,RNA-binding protein 45 isoform X1
LOC104830823,104830823,"LOW QUALITY PROTEIN: cytochrome c, somatic-like"
PDE11A,104832898,"dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A"
TTC30B,104830834,tetratricopeptide repeat protein 30B
AGPS,104830842,"alkyldihydroxyacetonephosphate synthase, peroxisomal isoform X1"
NFE2L2,104830923,nuclear factor erythroid 2-related factor 2
HNRNPA3,104830935,heterogeneous nuclear ribonucleoprotein A3 isoform X1
MTX2,104832904,metaxin-2
HOXD3,104832912,homeobox protein Hox-D3
HOXD4,104830969,homeobox protein Hox-D4
HOXD8,104832923,homeobox protein Hox-D8
